nodes,x,y
2,704.686547706986,1006.3184562437461
1,641.9896881712317,991.9578145203411
13,688.3851566811218,1014.7934905783505
24,616.7720746322582,917.3406710574515
3,691.24719950482,959.8962466853758
12,749.1892612531001,1020.6380589694503
14,742.5543941681799,961.1879628116349
35,713.7371787084511,946.695786049664
36,720.3493465345607,885.8694292328092
5,762.6787729205229,657.419394321816
4,770.8027817386645,723.8126913375528
16,840.0282674767658,653.4726315635663
37,791.3261357724373,608.0178101986536
15,790.7171295188582,725.558717088151
26,699.4579656739122,643.6378997195936
38,795.909220125188,551.9582665387255
7,863.9257644903629,301.36313019672235
6,863.685375068373,347.8142330571861
18,956.8708006232287,277.93588428426574
29,825.7985421449916,269.9988505063425
39,880.2726681195608,226.03131875488245
28,803.5431149744164,393.57936591754566
40,914.6123445193597,240.126117342171
8,955.317579025838,178.4341751514207
41,968.9076526496468,95.80913248265863
10,993.5842493270002,-41.59731362645086
9,986.987804265543,25.153425791527876
21,1025.9407128445112,-38.2635399240157
34,927.7509762652517,63.55849854528749
22,988.4846194163529,4.03362030981141
42,941.1451993347544,-29.68057100178334
44,724.168926899606,971.7897577277528
45,737.0717925181368,847.1035852771242
46,799.0995458056949,643.311656256483
17,883.5834511612923,534.2399332563103
47,853.7521193329382,600.5402219544235
48,925.0151247312009,358.25375373819713
19,999.9979332791331,187.41776027933986
49,953.4462409017603,228.3253307551872
50,999.7455496176369,82.57187180728889
20,1032.4250306385645,-1.1206909248462684
43,971.9841790280406,-65.1346126110491
51,968.5415216656652,-9.966739722916358
23,596.8048441346524,880.98142375674
25,611.2868229115617,842.103009190921
52,656.6436652845961,857.1336886917862
53,652.5051462614157,771.8557676660821
27,740.6809234828831,519.373946704274
54,731.050585919295,578.2267947938894
55,787.591346862897,501.0066241843824
56,846.1493991499617,316.27040274238044
30,881.8551630430683,139.21072291482454
57,836.9933187780274,170.66337545988702
58,860.8731069383487,78.07667408003852
32,894.4707799137723,1.527357219340767
31,847.9863729965355,-8.319267864251517
33,875.8766312763576,29.801843120748966
59,905.5013698324761,-33.47731066171676
62,898.1310172674864,266.3918253694047
63,839.1421447772985,243.72119022459188
64,911.3188265452703,195.92757868802332
65,839.4932427046942,203.73377533066346
66,833.2989747463849,222.38253562567746
67,863.0323695873544,185.5907323111064